altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
5.12,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.97,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.66,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.07,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8.29,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.62,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.96,8.0,0.0,0.0,0.0,0.0,3.0,1,0,1
1.21,5.0,0.0,0.0,0.0,0.0,7.0,1,0,0
0.84,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.84,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.98,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.91,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
14.38,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-5.16,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
33.25,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.22,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0
4.6,2.0,0.0,0.0,0.0,0.0,0.0,1,1,0
2.03,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
3.06,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.97,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.26,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.41,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-26.14,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-7.34,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.12,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.83,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
11.3,7.0,0.0,0.0,0.0,0.0,6.0,1,0,1
6.37,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1.06,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.69,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.27,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.71,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.58,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.56,6.0,0.0,0.0,0.0,0.0,4.0,1,1,0
2.26,6.0,0.0,0.0,0.0,0.0,2.0,1,1,0
10.7,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.47,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.62,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-4.42,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.23,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
10.86,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.37,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
222.12,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.17,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.4,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.05,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-11.24,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.23,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.74,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.4,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-3.05,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1.42,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.42,5.0,0.0,0.0,0.0,1.0,0.0,1,1,0
-10.8,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.64,7.0,0.0,0.0,0.0,1.0,4.0,1,1,0
0.7,7.0,0.0,1.0,0.0,0.0,5.0,1,0,1
2.18,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-154.34,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.36,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1
11.36,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.3,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.21,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1
3.54,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.0,7.0,0.0,1.0,0.0,0.0,0.0,1,1,0
2.72,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.85,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.56,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.11,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.77,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.42,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.61,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.61,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.79,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.13,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.47,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-23.87,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.91,5.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.77,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9.57,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.37,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-8.39,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.08,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-0.54,4.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-1.77,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
